retro_id,city,nickname,season,games
LAN,Los Angeles,Dodgers,2000,81
LAN,Los Angeles,Dodgers,2001,81
LAN,Los Angeles,Dodgers,2002,81
LAN,Los Angeles,Dodgers,2003,81
LAN,Los Angeles,Dodgers,2004,83
LAN,Los Angeles,Dodgers,2005,81
LAN,Los Angeles,Dodgers,2006,82
LAN,Los Angeles,Dodgers,2007,81
LAN,Los Angeles,Dodgers,2008,85
LAN,Los Angeles,Dodgers,2009,85
LAN,Los Angeles,Dodgers,2010,81
LAN,Los Angeles,Dodgers,2011,81
LAN,Los Angeles,Dodgers,2012,81
LAN,Los Angeles,Dodgers,2013,86
LAN,Los Angeles,Dodgers,2014,83
LAN,Los Angeles,Dodgers,2015,84
LAN,Los Angeles,Dodgers,2016,86
LAN,Los Angeles,Dodgers,2017,89
LAN,Los Angeles,Dodgers,2018,90
LAN,Los Angeles,Dodgers,2019,84
LAN,Los Angeles,Dodgers,2020,41
LAN,Los Angeles,Dodgers,2021,87
LAN,Los Angeles,Dodgers,2022,83
LAN,Los Angeles,Dodgers,2023,83
LAN,Los Angeles,Dodgers,2024,89
MIA,Miami,Marlins,2012,81
MIA,Miami,Marlins,2013,81
MIA,Miami,Marlins,2014,81
MIA,Miami,Marlins,2015,81
MIA,Miami,Marlins,2016,80
MIA,Miami,Marlins,2017,78
MIA,Miami,Marlins,2018,81
MIA,Miami,Marlins,2019,81
MIA,Miami,Marlins,2020,27
MIA,Miami,Marlins,2021,81
MIA,Miami,Marlins,2022,81
MIA,Miami,Marlins,2023,81
MIA,Miami,Marlins,2024,81
MIL,Milwaukee,Brewers,1990,162
MIL,Milwaukee,Brewers,1991,160
MIL,Milwaukee,Brewers,1992,162
MIL,Milwaukee,Brewers,1993,162
MIL,Milwaukee,Brewers,1994,112
MIL,Milwaukee,Brewers,1995,144
MIL,Milwaukee,Brewers,1996,162
MIL,Milwaukee,Brewers,1997,160
MIL,Milwaukee,Brewers,1998,162
MIL,Milwaukee,Brewers,1999,160
MIL,Milwaukee,Brewers,2000,162
MIL,Milwaukee,Brewers,2001,162
MIL,Milwaukee,Brewers,2002,162
MIL,Milwaukee,Brewers,2003,162
MIL,Milwaukee,Brewers,2004,162
MIL,Milwaukee,Brewers,2005,162
MIL,Milwaukee,Brewers,2006,162
MIL,Milwaukee,Brewers,2007,162
MIL,Milwaukee,Brewers,2008,166
MIL,Milwaukee,Brewers,2009,162
MIL,Milwaukee,Brewers,2010,162
MIL,Milwaukee,Brewers,2011,174
MIL,Milwaukee,Brewers,2012,162
MIL,Milwaukee,Brewers,2013,162
MIL,Milwaukee,Brewers,2014,162
MIL,Milwaukee,Brewers,2015,162
MIL,Milwaukee,Brewers,2016,162
MIL,Milwaukee,Brewers,2017,168
MIL,Milwaukee,Brewers,2018,174
MIL,Milwaukee,Brewers,2019,162
MIL,Milwaukee,Brewers,2020,58
MIL,Milwaukee,Brewers,2021,166
MIL,Milwaukee,Brewers,2022,162
MIL,Milwaukee,Brewers,2023,166
MIL,Milwaukee,Brewers,2024,168
MIN,Minnesota,Twins,1990,81
MIN,Minnesota,Twins,1991,87
MIN,Minnesota,Twins,1992,81
MIN,Minnesota,Twins,1993,81
MIN,Minnesota,Twins,1994,59
MIN,Minnesota,Twins,1995,72
MIN,Minnesota,Twins,1996,82
MIN,Minnesota,Twins,1997,81
MIN,Minnesota,Twins,1998,81
MIN,Minnesota,Twins,1999,81
MIN,Minnesota,Twins,2000,81
MIN,Minnesota,Twins,2001,81
MIN,Minnesota,Twins,2002,85
MIN,Minnesota,Twins,2003,83
MIN,Minnesota,Twins,2004,83
MIN,Minnesota,Twins,2005,81
MIN,Minnesota,Twins,2006,83
MIN,Minnesota,Twins,2007,81
MIN,Minnesota,Twins,2008,81
MIN,Minnesota,Twins,2009,83
MIN,Minnesota,Twins,2010,83
MIN,Minnesota,Twins,2011,81
MIN,Minnesota,Twins,2012,81
MIN,Minnesota,Twins,2013,81
MIN,Minnesota,Twins,2014,81
MIN,Minnesota,Twins,2015,81
MIN,Minnesota,Twins,2016,81
MIN,Minnesota,Twins,2017,81
MIN,Minnesota,Twins,2018,81
MIN,Minnesota,Twins,2019,82
MIN,Minnesota,Twins,2020,33
MIN,Minnesota,Twins,2021,81
MIN,Minnesota,Twins,2022,81
MIN,Minnesota,Twins,2023,85
MIN,Minnesota,Twins,2024,81
MON,Montreal,Expos,1990,81
MON,Montreal,Expos,1991,68
MON,Montreal,Expos,1992,81
MON,Montreal,Expos,1993,81
MON,Montreal,Expos,1994,52
MON,Montreal,Expos,1995,72
MON,Montreal,Expos,1996,81
MON,Montreal,Expos,1997,81
MON,Montreal,Expos,1998,81
MON,Montreal,Expos,1999,81
MON,Montreal,Expos,2000,81
MON,Montreal,Expos,2001,81
MON,Montreal,Expos,2002,81
MON,Montreal,Expos,2003,81
MON,Montreal,Expos,2004,80
NYA,New York,Yankees,1990,81
NYA,New York,Yankees,1991,81
NYA,New York,Yankees,1992,81
NYA,New York,Yankees,1993,81
NYA,New York,Yankees,1994,57
